"Name","Sweep","Runtime","State","Created","best_eval_top1","unc-module","n_few_shot","dataset","loss","model","lr","num-heads","initial-checkpoint","best_test_avg_downstream_auroc_correct","best_test_avg_downstream_auroc_correct_mixed","best_test_avg_downstream_auroc_ood","best_furthertest_avg_downstream_auroc_correct","best_test_avg_downstream_r1","best_furthertest_avg_downstream_r1","best_test_avg_downstream_croppedHasBiggerUnc","best_furthertest_avg_downstream_croppedHasBiggerUnc","best_eval_avg_downstream_auroc_correct","best_eval_avg_downstream_auroc_correct_mixed","best_eval_avg_downstream_auroc_ood","best_eval_avg_downstream_croppedHasBiggerUnc","best_eval_avg_downstream_r1","eval_avg_downstream_auroc_correct","eval_avg_downstream_croppedHasBiggerUnc","eval_avg_downstream_r1","best_eval_auroc_correct","best_eval_r1","eval_time_per_sample"
"vital-sweep-28","lvzxtv9q","25032","crashed","2023-08-17T08:04:56.000Z","0.2797","pred-net","10","repr/sop","cross-entropy","resnet50","0.000011921026128622955","","/host/mnt/qb/work/kasneci/mkirchhof44/projects/large/output/train/20230522-102914532252-resnet50-224/checkpoint-1.pth.tar","0.5546","0.4999819099903106","0.5","","0.2184","","0.8851","","","","","","","","","","0.5546","0.2184","0.527436240526087"
"playful-sweep-32","8m8z8g7r","4896","failed","2023-08-17T08:04:05.000Z","0.0502","class-entropy","10","repr/sop","cross-entropy","vit_medium_patch16_gap_256","0.0024770071806842035","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230522-123438090221-vit_medium_patch16_gap_256-256/checkpoint-5.pth.tar","0.546","0.4999651610851288","0.5","","0.1076","","0.6836","","","","","","","","","","0.546","0.1076","0.3256396899230679"
"lively-sweep-31","8m8z8g7r","4016","failed","2023-08-17T08:03:45.000Z","0.0538","class-entropy","5","repr/sop","cross-entropy","vit_medium_patch16_gap_256","0.0024770071806842035","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230522-123438090221-vit_medium_patch16_gap_256-256/checkpoint-5.pth.tar","0.6096","0.49998974800109863","0.5","","0.0584","","0.6553","","","","","","","","","","0.6096","0.0584","0.34104590003759117"
"eager-sweep-29","8m8z8g7r","44334","finished","2023-08-17T08:03:45.000Z","45.0898","class-entropy","1","repr/sop","cross-entropy","vit_medium_patch16_gap_256","0.0024770071806842035","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230522-123438090221-vit_medium_patch16_gap_256-256/checkpoint-5.pth.tar","0.6059","0.4999935328960418","0.5","","0.3549","","0.2775","","","","","","","","","","0.6059","0.3549","0.32205059006823544"
"generous-sweep-30","8m8z8g7r","6303","failed","2023-08-17T08:03:45.000Z","0.3191","class-entropy","2","repr/sop","cross-entropy","vit_medium_patch16_gap_256","0.0024770071806842035","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230522-123438090221-vit_medium_patch16_gap_256-256/checkpoint-5.pth.tar","0.6095","0.4998190104961395","0.5","","0.0707","","0.3926","","","","","","","","","","0.6095","0.0707","0.34937642159259724"
"magic-sweep-28","8m8z8g7r","70053","finished","2023-08-17T08:03:41.000Z","0.0179","class-entropy","10","repr/sop","cross-entropy","vit_medium_patch16_gap_256","0.0024770071806842035","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230522-123438210796-vit_medium_patch16_gap_256-256/checkpoint-4.pth.tar","0.6857","0.7042466402053833","0.5","","0.0005","","0.5015","","","","","","","","","","0.6857","0.0005","0.36528811765586455"
"winter-sweep-26","8m8z8g7r","56850","finished","2023-08-17T08:03:31.000Z","62.4897","class-entropy","2","repr/sop","cross-entropy","vit_medium_patch16_gap_256","0.0024770071806842035","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230522-123438210796-vit_medium_patch16_gap_256-256/checkpoint-4.pth.tar","0.6463","0.4999776482582092","0.4999999701976776","","0.4389","","0.2037","","","","","","","","","","0.6463","0.4389","0.32089764962195155"
"dry-sweep-27","8m8z8g7r","13380","failed","2023-08-17T08:03:31.000Z","1.0147","class-entropy","5","repr/sop","cross-entropy","vit_medium_patch16_gap_256","0.0024770071806842035","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230522-123438210796-vit_medium_patch16_gap_256-256/checkpoint-4.pth.tar","0.5793","0.5000556111335754","0.4999999701976776","","0.1079","","0.4216","","","","","","","","","","0.5793","0.1079","0.3269930655888481"
"glamorous-sweep-25","8m8z8g7r","44773","finished","2023-08-17T08:03:30.000Z","52.0168","class-entropy","1","repr/sop","cross-entropy","vit_medium_patch16_gap_256","0.0024770071806842035","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230522-123438210796-vit_medium_patch16_gap_256-256/checkpoint-4.pth.tar","0.5896","0.4999690651893616","0.4999999701976776","","0.4144","","0.1357","","","","","","","","","","0.5896","0.4144","0.3270542130602431"
"lunar-sweep-24","8m8z8g7r","0","crashed","2023-08-17T08:03:29.000Z","","class-entropy","10","repr/cars","cross-entropy","vit_medium_patch16_gap_256","","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230515-201905253598-vit_medium_patch16_gap_256-256/checkpoint-6.pth.tar","","","","","","","","","","","","","","","","","","",""
