Step,flowing-sweep-1 - eval_top1,flowing-sweep-1 - eval_top1__MIN,flowing-sweep-1 - eval_top1__MAX
0,28.074,28.074,28.074
1,74.814,74.814,74.814
2,78.65,78.65,78.65
3,79.316,79.316,79.316
4,79.69,79.69,79.69
5,79.456,79.456,79.456
6,79.792,79.792,79.792
7,79.632,79.632,79.632
8,79.538,79.538,79.538
9,79.37,79.37,79.37
10,79.396,79.396,79.396
11,78.906,78.906,78.906
12,78.922,78.922,78.922
13,78.204,78.204,78.204
14,78.08,78.08,78.08
15,77.976,77.976,77.976
16,78.1,78.1,78.1
17,77.948,77.948,77.948
18,77.89,77.89,77.89
19,77.266,77.266,77.266
20,76.884,76.884,76.884
21,76.782,76.782,76.782
22,76.908,76.908,76.908
23,76.608,76.608,76.608
24,76.274,76.274,76.274
25,76.286,76.286,76.286
26,75.898,75.898,75.898
27,75.804,75.804,75.804
28,76.07,76.07,76.07
29,76.45,76.45,76.45
30,76.114,76.114,76.114
31,76.442,76.442,76.442
32,76.76,76.76,76.76
33,76.882,76.882,76.882
34,76.762,76.762,76.762
35,76.648,76.648,76.648
36,76.934,76.934,76.934
37,76.88,76.88,76.88
38,76.964,76.964,76.964
39,76.64,76.64,76.64
40,76.716,76.716,76.716
41,76.81,76.81,76.81
42,76.826,76.826,76.826
