Step,leafy-sweep-1 - eval_auroc_classification,leafy-sweep-1 - eval_auroc_classification__MIN,leafy-sweep-1 - eval_auroc_classification__MAX
0,0.7802,0.7802,0.7802
1,0.7833,0.7833,0.7833
2,0.7876,0.7876,0.7876
3,0.7924,0.7924,0.7924
4,0.7986,0.7986,0.7986
5,0.7986,0.7986,0.7986
6,0.8006,0.8006,0.8006
7,0.8019,0.8019,0.8019
8,0.8029,0.8029,0.8029
9,0.805,0.805,0.805
10,0.8037,0.8037,0.8037
11,0.8072,0.8072,0.8072
12,0.8082,0.8082,0.8082
13,0.8086,0.8086,0.8086
14,0.811,0.811,0.811
15,0.809,0.809,0.809
16,0.8142,0.8142,0.8142
17,0.8138,0.8138,0.8138
18,0.8137,0.8137,0.8137
19,0.8151,0.8151,0.8151
20,0.8146,0.8146,0.8146
21,0.8188,0.8188,0.8188
22,0.8188,0.8188,0.8188
23,0.8177,0.8177,0.8177
24,0.8183,0.8183,0.8183
25,0.8209,0.8209,0.8209
26,0.823,0.823,0.823
27,0.823,0.823,0.823
28,0.823,0.823,0.823
29,0.823,0.823,0.823
30,0.8235,0.8235,0.8235
31,0.8236,0.8236,0.8236
